"filename", "language", "JavaScript JSX", "Markdown", "JavaScript", "CSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2718, 0, 0, 1, 2719
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\package.json", "JSON", 0, 0, 0, 0, 0, 27, 0, 0, 1, 28
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\App.css", "CSS", 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\App.jsx", "JavaScript JSX", 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\index.css", "CSS", 0, 0, 0, 61, 0, 0, 0, 0, 8, 69
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\main.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\config\db.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\Admin.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
