Date : 2025-05-10 09:24:36
Directory : d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo
Total : 106 files,  10618 codes, 240 comments, 597 blanks, all 11455 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         72 |      6,792 |        141 |        487 |      7,420 |
| JSON           |          7 |      2,215 |          0 |          1 |      2,216 |
| JavaScript     |         25 |      1,708 |         99 |        122 |      1,929 |
| CSS            |          2 |        -97 |          0 |        -13 |       -110 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                |        106 |     10,618 |        240 |        597 |     11,455 |
| . (Files)                                                                                                                                        |          1 |          6 |          0 |          1 |          7 |
| admin                                                                                                                                            |         17 |      2,961 |         20 |         78 |      3,059 |
| admin (Files)                                                                                                                                    |          3 |      1,709 |          0 |          0 |      1,709 |
| admin\src                                                                                                                                        |         14 |      1,252 |         20 |         78 |      1,350 |
| admin\src (Files)                                                                                                                                |          4 |        -89 |          2 |        -12 |        -99 |
| admin\src\context                                                                                                                                |          1 |         26 |          0 |          6 |         32 |
| admin\src\pages                                                                                                                                  |          9 |      1,315 |         18 |         84 |      1,417 |
| backend                                                                                                                                          |         26 |      1,984 |         99 |        122 |      2,205 |
| backend (Files)                                                                                                                                  |          3 |        294 |          1 |          1 |        296 |
| backend\Middleware                                                                                                                               |          1 |         30 |          0 |          6 |         36 |
| backend\config                                                                                                                                   |          2 |         25 |          0 |          4 |         29 |
| backend\controllers                                                                                                                              |          1 |         37 |          0 |          6 |         43 |
| backend\models                                                                                                                                   |          9 |        198 |          3 |         13 |        214 |
| backend\routes                                                                                                                                   |         10 |      1,400 |         95 |         92 |      1,587 |
| frontend                                                                                                                                         |         62 |      5,667 |        121 |        396 |      6,184 |
| frontend (Files)                                                                                                                                 |          2 |        224 |          0 |          0 |        224 |
| frontend\src                                                                                                                                     |         60 |      5,443 |        121 |        396 |      5,960 |
| frontend\src (Files)                                                                                                                             |          1 |        237 |          1 |          6 |        244 |
| frontend\src\components                                                                                                                          |         14 |        269 |          9 |         22 |        300 |
| frontend\src\pages                                                                                                                               |         45 |      4,937 |        111 |        368 |      5,416 |
| frontend\src\pages (Files)                                                                                                                       |         16 |      2,270 |         49 |        178 |      2,497 |
| frontend\src\pages\Admin                                                                                                                         |          6 |        887 |         29 |         65 |        981 |
| frontend\src\pages\hotel                                                                                                                         |         10 |      1,437 |         20 |        100 |      1,557 |
| frontend\src\pages\hotel (Files)                                                                                                                 |          9 |      1,411 |         20 |         94 |      1,525 |
