"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "comment", "blank", "total"
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\App.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 18
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\Middleware\auth.js", "JavaScript", 0, 29, 0, 1, 3, 33
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\Middleware\verifyToken.js", "JavaScript", 0, 1, 0, 0, 0, 1
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\config\db.js", "JavaScript", 0, -2, 0, 0, 0, -2
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\controllers\hotelBookingReviewController.js", "JavaScript", 0, 35, 0, 6, 5, 46
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\controllers\hotelPaymentController.js", "JavaScript", 0, 24, 0, 0, 6, 30
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\controllers\orderController.js", "JavaScript", 0, 94, 0, 8, 13, 115
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\controllers\rentingVehicleController.js", "JavaScript", 0, 108, 0, 10, 12, 130
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\controllers\vehicleOrderReviewController.js", "JavaScript", 0, 36, 0, 7, 4, 47
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\ContactMessage.js", "JavaScript", 0, 4, 0, 0, 0, 4
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\HotelBookingReview.js", "JavaScript", 0, 10, 0, 0, 2, 12
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\Order.js", "JavaScript", 0, 15, 0, 0, 2, 17
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\RentalRequest.js", "JavaScript", 0, -54, 0, 0, -2, -56
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\RentingVehicle.js", "JavaScript", 0, 23, 0, 0, 2, 25
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\TourGuide.js", "JavaScript", 0, 7, 0, 0, 0, 7
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\Vehicle.js", "JavaScript", 0, -15, 0, 0, -2, -17
