"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\README.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 6, 13
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\eslint.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\package-lock.json", "JSON", 4420, 0, 0, 0, 0, 0, 0, 0, 1, 4421
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\App.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 0, 1, 6, 59
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\index.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\main.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 1, 1, 17
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\pages\AddHotel.jsx", "JavaScript JSX", 0, 0, 292, 0, 0, 0, 0, 0, 17, 309
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 91, 0, 0, 0, 0, 0, 5, 96
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 129, 0, 0, 0, 0, 8, 13, 150
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\pages\HotelDetails.jsx", "JavaScript JSX", 0, 0, 361, 0, 0, 0, 0, 3, 16, 380
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\pages\IncomingBookings.jsx", "JavaScript JSX", 0, 0, 127, 0, 0, 0, 0, 2, 8, 137
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 7, 62
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\pages\PreviousBookings.jsx", "JavaScript JSX", 0, 0, 62, 0, 0, 0, 0, 1, 5, 68
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\pages\Reports.jsx", "JavaScript JSX", 0, 0, 134, 0, 0, 0, 0, 4, 11, 149
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\pages\Sidebar.jsx", "JavaScript JSX", 0, 0, 64, 0, 0, 0, 0, 0, 2, 66
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\vite.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\Middleware\auth.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 1, 3, 33
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\Middleware\verifyToken.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\config\cloudinary.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\config\db.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\config\mongodb.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\controllers\bookingController.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\controllers\hotelBookingReviewController.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 6, 5, 46
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\controllers\hotelPaymentController.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\controllers\orderController.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 8, 13, 115
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\controllers\rentingVehicleController.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 10, 12, 130
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\controllers\vehicleOrderReviewController.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 7, 4, 47
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\Admin.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\AdminHotel.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\Booking.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\CashoutRequest.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\ContactMessage.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 2, 40
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\Hotel.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\HotelBookingReview.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\HotelOwner.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\Order.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\RentingVehicle.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\Review.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 2, 2, 19
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\ServiceProvider.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\TourBookings.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 2, 76
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\TourGuide.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 1, 2, 30
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\TourPackage.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\VehicleOrderReview.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 3, 14
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\VehicleProvider.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\VehicleReview.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\user.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 1, 3, 23
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\package-lock.json", "JSON", 4805, 0, 0, 0, 0, 0, 0, 0, 1, 4806
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\api.js", "JavaScript", 0, 1815, 0, 0, 0, 0, 0, 140, 147, 2102
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\bookingRoutes.js", "JavaScript", 0, 200, 0, 0, 0, 0, 0, 12, 26, 238
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\emailRoutes.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 4, 13, 75
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\hotelBookingReviewRoutes.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 3, 4, 14
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\hotelPaymentRoutes.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\hotelRoutes.js", "JavaScript", 0, 150, 0, 0, 0, 0, 0, 8, 23, 181
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\orderRoutes.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 6, 7, 30
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\rentingVehicleRoutes.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 10, 11, 73
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\tourGuideBookingRoutes.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 1, 3, 20
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\vehicleOrderReviewRoutes.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 4, 5, 16
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\vehicleReviewRoutes.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 2, 6, 44
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\server.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 6, 7, 54
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\README.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 6, 13
